#data counter step time
50 1 447 10.0
50 2 449 10.0
100 3 450 10.0
100 4 452 10.0
150 5 455 10.0
75 6 463 10.0
150 7 464 10.0
150 8 489 11.0
50 9 495 11.0
150 10 502 11.0
100 11 511 11.0
100 12 536 12.0
100 13 537 12.0
100 14 541 12.0
75 15 543 12.0
100 16 564 12.0
500 17 591 13.0
50 18 593 13.0
75 19 594 13.0
50 20 595 13.0
75 21 600 13.0
100 22 630 14.0
50 23 633 14.0
150 24 642 14.0
500 25 649 14.0
50 26 681 15.0
50 27 682 15.0
75 28 689 15.0
100 29 692 15.0
75 30 733 16.0
500 31 736 16.0
75 32 737 16.0
100 33 738 16.0
100 34 810 18.0
75 35 812 18.0
150 36 851 19.0
150 37 903 20.0
