#data counter step time
500 1 1298 49.0
150 2 1667 76.0
150 3 1711 79.0
75 4 1803 85.0
75 5 1851 87.0
100 6 1856 87.0
75 7 1887 89.0
100 8 1897 91.0
100 9 1907 93.0
50 10 1928 95.0
100 11 1944 96.0
150 12 1966 97.0
500 13 1997 99.0
50 14 2045 102.0
150 15 2061 104.0
50 16 2072 105.0
100 17 2151 111.0
150 18 2160 111.0
50 19 2178 113.0
50 20 2191 114.0
150 21 2197 114.0
50 22 2232 117.0
75 23 2235 117.0
500 24 2250 118.0
100 25 2284 120.0
100 26 2307 122.0
75 27 2309 122.0
100 28 2325 123.0
500 29 2339 123.0
150 30 2368 125.0
75 31 2443 130.0
100 32 2444 130.0
100 33 2445 130.0
50 34 2458 131.0
500 35 2475 133.0
500 36 2497 134.0
150 37 2501 134.0
500 38 2520 135.0
75 39 2527 135.0
100 40 2528 135.0
75 41 2550 136.0
50 42 2567 137.0
500 43 2580 138.0
150 44 2583 139.0
100 45 2595 141.0
75 46 2611 142.0
75 47 2641 146.0
100 48 2644 146.0
100 49 2645 146.0
500 50 2659 147.0
100 51 2660 147.0
100 52 2669 148.0
100 53 2679 149.0
75 54 2680 149.0
50 55 2686 150.0
100 56 2698 151.0
100 57 2721 154.0
100 58 2732 155.0
500 59 2742 157.0
150 60 2744 157.0
100 61 2748 157.0
100 62 2752 158.0
500 63 2758 159.0
100 64 2772 160.0
150 65 2777 161.0
500 66 2779 161.0
500 67 2791 162.0
75 68 2796 162.0
75 69 2798 162.0
75 70 2830 165.0
500 71 2865 168.0
150 72 2867 168.0
75 73 2885 169.0
100 74 2904 171.0
100 75 2911 172.0
75 76 2913 172.0
75 77 2921 173.0
75 78 2924 173.0
50 79 2933 174.0
100 80 2935 175.0
500 81 2938 175.0
75 82 2956 176.0
50 83 2957 177.0
100 84 2959 177.0
100 85 2960 177.0
75 86 2962 177.0
50 87 2989 179.0
100 88 2994 180.0
100 89 2995 180.0
100 90 3012 181.0
75 91 3020 181.0
100 92 3029 182.0
150 93 3062 184.0
150 94 3070 185.0
100 95 3088 187.0
150 96 3104 188.0
500 97 3124 190.0
100 98 3161 193.0
100 99 3211 196.0
100 100 3230 196.0
500 101 3237 197.0
150 102 3249 197.0
100 103 3316 201.0
500 104 3328 203.0
150 105 3331 204.0
100 106 3336 205.0
150 107 3340 206.0
75 108 3349 207.0
100 109 3368 213.0
75 110 3369 213.0
500 111 3381 214.0
150 112 3393 217.0
50 113 3394 217.0
50 114 3397 218.0
100 115 3418 221.0
50 116 3430 225.0
500 117 3434 226.0
500 118 3436 226.0
75 119 3454 229.0
100 120 3459 230.0
150 121 3463 230.0
75 122 3472 231.0
75 123 3495 236.0
500 124 3498 237.0
500 125 3499 237.0
75 126 3509 239.0
100 127 3519 243.0
100 128 3531 248.0
500 129 3535 251.0
75 130 3538 253.0
100 131 3548 262.0
50 132 3559 266.0
150 133 3564 268.0
500 134 3568 269.0
100 135 3588 276.0
50 136 3595 279.0
50 137 3599 280.0
500 138 3603 284.0
50 139 3609 286.0
75 140 3628 296.0
75 141 3631 297.0
100 142 3639 302.0
500 143 3642 306.0
100 144 3645 315.0
100 145 3648 318.0
100 146 3650 319.0
100 147 3671 348.0
150 148 3675 351.0
100 149 3677 359.0
100 150 3685 405.0
