#data counter step time
50 1 468 10.0
150 2 471 10.0
75 3 472 10.0
50 4 473 10.0
100 5 482 10.0
100 6 506 10.0
100 7 534 11.0
75 8 537 11.0
50 9 545 11.0
75 10 554 11.0
100 11 556 11.0
150 12 579 12.0
100 13 588 12.0
500 14 614 13.0
150 15 622 13.0
150 16 630 13.0
100 17 637 13.0
500 18 658 14.0
150 19 668 14.0
75 20 683 14.0
50 21 690 14.0
75 22 719 15.0
500 23 745 15.0
100 24 746 15.0
150 25 747 15.0
100 26 748 15.0
75 27 754 15.0
100 28 783 16.0
100 29 805 16.0
150 30 806 16.0
75 31 808 16.0
100 32 810 16.0
150 33 847 17.0
500 34 849 17.0
100 35 854 17.0
100 36 856 17.0
500 37 920 18.0
75 38 923 18.0
