#data counter step time
100 1 460 10.0
100 2 465 10.0
100 3 472 10.0
100 4 479 10.0
75 5 483 10.0
150 6 496 11.0
150 7 514 11.0
100 8 519 11.0
100 9 545 12.0
500 10 556 12.0
150 11 560 12.0
100 12 568 12.0
100 13 571 12.0
100 14 572 12.0
500 15 590 13.0
50 16 608 13.0
500 17 609 13.0
50 18 611 13.0
100 19 612 13.0
100 20 619 13.0
100 21 650 14.0
75 22 661 14.0
100 23 702 15.0
100 24 704 15.0
150 25 716 15.0
150 26 720 15.0
50 27 746 16.0
150 28 754 16.0
150 29 758 16.0
50 30 794 17.0
500 31 813 17.0
100 32 856 18.0
75 33 892 19.0
150 34 939 20.0
75 35 944 20.0
75 36 947 20.0
150 37 1023 22.0
