#data counter step time
500 1 1342 42.0
50 2 1644 67.0
100 3 1940 86.0
100 4 1957 87.0
500 5 1974 88.0
500 6 2012 90.0
100 7 2034 91.0
100 8 2048 92.0
100 9 2067 93.0
100 10 2092 94.0
100 11 2101 94.0
75 12 2152 97.0
100 13 2155 97.0
500 14 2167 98.0
75 15 2175 98.0
100 16 2225 101.0
100 17 2247 102.0
100 18 2260 103.0
500 19 2289 105.0
100 20 2303 106.0
100 21 2354 109.0
150 22 2429 113.0
150 23 2445 114.0
75 24 2457 115.0
75 25 2462 116.0
75 26 2476 117.0
100 27 2482 117.0
75 28 2484 117.0
50 29 2494 118.0
100 30 2495 118.0
150 31 2540 120.0
150 32 2576 122.0
50 33 2626 125.0
75 34 2641 126.0
100 35 2683 128.0
50 36 2684 128.0
500 37 2715 130.0
75 38 2737 131.0
100 39 2744 131.0
75 40 2752 132.0
500 41 2768 133.0
150 42 2785 134.0
100 43 2789 134.0
100 44 2822 137.0
100 45 2825 137.0
100 46 2831 137.0
500 47 2853 139.0
100 48 2887 140.0
500 49 2894 141.0
75 50 2910 142.0
500 51 2934 143.0
100 52 2945 144.0
100 53 2990 147.0
150 54 3000 148.0
100 55 3017 149.0
50 56 3065 152.0
50 57 3068 152.0
50 58 3077 153.0
75 59 3082 153.0
500 60 3088 154.0
100 61 3097 155.0
75 62 3104 155.0
100 63 3118 156.0
150 64 3122 156.0
150 65 3164 159.0
75 66 3167 159.0
150 67 3180 160.0
500 68 3184 160.0
50 69 3200 162.0
50 70 3203 162.0
100 71 3208 163.0
75 72 3251 167.0
75 73 3257 168.0
100 74 3259 168.0
500 75 3261 168.0
500 76 3262 168.0
75 77 3284 169.0
150 78 3286 169.0
500 79 3292 170.0
75 80 3318 172.0
75 81 3321 172.0
50 82 3347 175.0
150 83 3353 175.0
500 84 3363 176.0
75 85 3367 176.0
150 86 3377 177.0
50 87 3381 177.0
75 88 3384 177.0
50 89 3397 179.0
500 90 3398 179.0
100 91 3401 179.0
75 92 3433 182.0
100 93 3468 184.0
150 94 3475 184.0
75 95 3484 184.0
75 96 3494 185.0
150 97 3496 185.0
150 98 3515 186.0
150 99 3544 187.0
100 100 3555 188.0
100 101 3561 188.0
100 102 3563 188.0
50 103 3569 188.0
100 104 3644 191.0
50 105 3678 192.0
75 106 3696 193.0
150 107 3705 193.0
150 108 3706 193.0
75 109 3737 195.0
500 110 3741 195.0
75 111 3742 195.0
150 112 3745 195.0
50 113 3758 198.0
150 114 3759 198.0
100 115 3768 199.0
100 116 3769 199.0
150 117 3779 200.0
150 118 3780 200.0
100 119 3787 201.0
50 120 3790 201.0
100 121 3793 202.0
75 122 3800 203.0
100 123 3801 203.0
100 124 3805 203.0
100 125 3812 204.0
500 126 3823 205.0
150 127 3832 205.0
100 128 3847 206.0
500 129 3848 206.0
100 130 3855 207.0
100 131 3867 208.0
100 132 3875 209.0
100 133 3888 211.0
75 134 3895 214.0
150 135 3899 214.0
100 136 3902 215.0
150 137 3903 215.0
150 138 3909 216.0
500 139 3918 217.0
150 140 3929 218.0
75 141 3943 223.0
75 142 3946 223.0
150 143 3964 229.0
100 144 3971 230.0
75 145 3978 232.0
150 146 3982 232.0
75 147 3986 234.0
100 148 3988 234.0
75 149 3993 235.0
100 150 3997 236.0
500 151 4002 239.0
500 152 4003 239.0
500 153 4013 242.0
75 154 4020 244.0
500 155 4021 244.0
100 156 4024 245.0
500 157 4025 245.0
100 158 4036 249.0
150 159 4039 249.0
75 160 4041 249.0
100 161 4044 250.0
500 162 4055 253.0
150 163 4056 254.0
50 164 4058 255.0
100 165 4063 257.0
100 166 4068 258.0
100 167 4073 262.0
50 168 4076 268.0
150 169 4081 269.0
100 170 4093 273.0
100 171 4109 284.0
75 172 4114 285.0
100 173 4117 287.0
100 174 4122 287.0
75 175 4139 320.0
500 176 4143 330.0
100 177 4145 338.0
150 178 4167 345.0
50 179 4173 352.0
100 180 4176 361.0
500 181 4183 390.0
