#data counter step time
75 1 1668 72.0
75 2 1721 76.0
75 3 1792 82.0
150 4 1915 89.0
75 5 1935 90.0
500 6 2060 97.0
75 7 2125 101.0
50 8 2175 104.0
100 9 2176 104.0
500 10 2199 105.0
100 11 2283 109.0
75 12 2303 110.0
150 13 2341 113.0
50 14 2352 114.0
500 15 2359 114.0
100 16 2360 114.0
150 17 2422 117.0
50 18 2465 119.0
100 19 2495 120.0
500 20 2498 120.0
500 21 2539 122.0
100 22 2558 123.0
100 23 2594 125.0
100 24 2618 126.0
500 25 2682 130.0
100 26 2684 131.0
100 27 2686 131.0
150 28 2701 132.0
150 29 2704 133.0
500 30 2713 134.0
500 31 2724 135.0
150 32 2730 136.0
75 33 2735 136.0
50 34 2748 137.0
100 35 2754 137.0
100 36 2755 137.0
50 37 2759 137.0
100 38 2781 139.0
50 39 2786 139.0
75 40 2801 140.0
100 41 2806 140.0
500 42 2809 140.0
100 43 2840 142.0
100 44 2856 143.0
500 45 2863 144.0
50 46 2865 144.0
50 47 2902 146.0
100 48 2903 146.0
50 49 2912 147.0
100 50 2913 147.0
75 51 2938 149.0
150 52 2939 149.0
75 53 2940 149.0
500 54 2946 150.0
50 55 2956 151.0
100 56 2966 152.0
50 57 2972 152.0
100 58 2979 152.0
500 59 2992 154.0
150 60 3003 154.0
150 61 3016 154.0
500 62 3022 155.0
100 63 3041 157.0
500 64 3051 157.0
50 65 3061 158.0
50 66 3082 160.0
150 67 3093 161.0
75 68 3107 163.0
500 69 3108 163.0
75 70 3109 163.0
50 71 3111 163.0
50 72 3115 163.0
75 73 3124 164.0
500 74 3128 165.0
150 75 3144 167.0
50 76 3145 167.0
150 77 3171 170.0
500 78 3174 170.0
100 79 3198 172.0
500 80 3212 173.0
50 81 3216 173.0
100 82 3228 174.0
150 83 3235 175.0
150 84 3238 175.0
100 85 3239 175.0
150 86 3247 176.0
75 87 3249 176.0
150 88 3262 177.0
500 89 3269 178.0
50 90 3271 178.0
100 91 3286 179.0
500 92 3296 180.0
150 93 3313 181.0
500 94 3330 182.0
75 95 3348 183.0
100 96 3350 183.0
100 97 3355 183.0
100 98 3364 183.0
100 99 3375 184.0
150 100 3393 185.0
500 101 3425 186.0
75 102 3436 187.0
500 103 3458 188.0
150 104 3460 188.0
50 105 3476 189.0
75 106 3494 190.0
150 107 3519 191.0
50 108 3537 192.0
500 109 3542 192.0
75 110 3608 195.0
100 111 3629 197.0
100 112 3630 197.0
50 113 3638 198.0
100 114 3641 199.0
100 115 3650 200.0
100 116 3657 202.0
100 117 3663 204.0
75 118 3675 207.0
150 119 3676 207.0
75 120 3683 208.0
100 121 3687 209.0
100 122 3723 214.0
150 123 3724 214.0
100 124 3727 214.0
500 125 3728 215.0
100 126 3732 216.0
75 127 3742 217.0
100 128 3744 218.0
500 129 3754 219.0
50 130 3759 219.0
150 131 3772 223.0
100 132 3773 223.0
75 133 3783 225.0
100 134 3803 230.0
100 135 3825 236.0
100 136 3827 236.0
100 137 3830 237.0
150 138 3836 240.0
150 139 3840 241.0
75 140 3849 243.0
50 141 3852 244.0
75 142 3853 244.0
75 143 3857 246.0
500 144 3865 249.0
500 145 3866 249.0
500 146 3872 250.0
100 147 3895 261.0
75 148 3901 263.0
75 149 3907 264.0
50 150 3912 268.0
150 151 3915 268.0
50 152 3920 270.0
100 153 3925 271.0
100 154 3927 271.0
75 155 3940 278.0
100 156 3961 286.0
100 157 3966 288.0
75 158 3977 298.0
100 159 3984 301.0
100 160 3993 305.0
100 161 4012 329.0
150 162 4020 333.0
50 163 4024 334.0
100 164 4066 399.0
150 165 4069 411.0
150 166 4071 411.0
500 167 4078 418.0
100 168 4086 435.0
50 169 4090 446.0
500 170 4117 694.0
