#data counter
2100 1
2025 2
2150 3
2150 4
2100 5
2775 6
1925 7
2475 8
1775 9
1825 10
2300 11
1425 12
2300 13
750 14
2900 15
1750 16
1900 17
2100 18
2375 19
2050 20
2950 21
3775 22
3425 23
2500 24
1325 25
2575 26
2700 27
1175 28
2475 29
2625 30
1600 31
3325 32
1725 33
3075 34
2975 35
5000 36
4150 37
2200 38
2925 39
1850 40
2350 41
1800 42
1900 43
2850 44
2675 45
3075 46
2250 47
1700 48
1900 49
1225 50
2475 51
3475 52
2175 53
2150 54
2025 55
3475 56
1425 57
1000 58
2750 59
2175 60
2100 61
825 62
2200 63
1100 64
2275 65
3525 66
3150 67
2075 68
2875 69
2425 70
2050 71
3250 72
800 73
2050 74
1900 75
1775 76
1200 77
2300 78
1375 79
2550 80
1775 81
1925 82
2800 83
1925 84
3375 85
1225 86
3750 87
2500 88
850 89
3275 90
3050 91
1525 92
1700 93
2325 94
2625 95
3925 96
4025 97
2575 98
5300 99
1825 100
