#data counter step time
100 1 1533 61.0
150 2 1778 77.0
100 3 1824 80.0
500 4 1866 82.0
150 5 1962 87.0
75 6 1982 89.0
150 7 1987 89.0
100 8 1998 90.0
150 9 1999 90.0
100 10 2044 92.0
75 11 2065 93.0
50 12 2095 94.0
100 13 2106 95.0
75 14 2160 98.0
50 15 2171 99.0
500 16 2179 99.0
500 17 2226 101.0
100 18 2256 103.0
75 19 2270 104.0
100 20 2277 104.0
75 21 2297 105.0
75 22 2330 107.0
150 23 2345 108.0
100 24 2356 108.0
100 25 2394 111.0
100 26 2404 111.0
100 27 2434 113.0
100 28 2456 114.0
50 29 2458 114.0
100 30 2460 114.0
75 31 2461 114.0
75 32 2483 116.0
100 33 2502 117.0
100 34 2531 119.0
150 35 2573 121.0
500 36 2582 121.0
150 37 2604 123.0
50 38 2618 124.0
50 39 2631 125.0
500 40 2646 126.0
100 41 2677 128.0
150 42 2700 130.0
150 43 2701 130.0
100 44 2708 130.0
500 45 2709 130.0
75 46 2729 132.0
75 47 2745 133.0
75 48 2756 133.0
100 49 2782 135.0
75 50 2795 136.0
150 51 2813 137.0
50 52 2833 139.0
150 53 2840 139.0
150 54 2863 140.0
100 55 2872 141.0
100 56 2875 141.0
500 57 2888 142.0
50 58 2915 143.0
50 59 2922 143.0
50 60 2941 144.0
500 61 2973 146.0
75 62 2986 147.0
100 63 2988 147.0
150 64 2993 147.0
100 65 3000 148.0
75 66 3016 149.0
500 67 3057 153.0
50 68 3061 153.0
75 69 3095 156.0
100 70 3096 156.0
100 71 3103 157.0
150 72 3126 159.0
75 73 3131 159.0
500 74 3153 161.0
50 75 3160 162.0
150 76 3162 162.0
150 77 3179 163.0
50 78 3190 165.0
100 79 3215 168.0
150 80 3238 170.0
100 81 3243 170.0
75 82 3257 170.0
500 83 3267 171.0
75 84 3275 171.0
75 85 3295 172.0
50 86 3303 173.0
150 87 3306 174.0
150 88 3316 175.0
50 89 3340 177.0
500 90 3342 178.0
100 91 3349 179.0
50 92 3353 179.0
150 93 3371 181.0
100 94 3392 182.0
100 95 3398 182.0
50 96 3399 182.0
500 97 3420 184.0
100 98 3422 184.0
50 99 3442 184.0
75 100 3451 185.0
500 101 3454 185.0
500 102 3473 186.0
75 103 3503 187.0
75 104 3527 188.0
100 105 3546 189.0
75 106 3574 190.0
150 107 3576 190.0
500 108 3602 191.0
500 109 3619 192.0
500 110 3720 195.0
50 111 3727 196.0
75 112 3739 197.0
100 113 3758 199.0
500 114 3782 202.0
100 115 3791 203.0
150 116 3792 203.0
500 117 3805 204.0
150 118 3822 206.0
100 119 3823 206.0
50 120 3826 206.0
100 121 3845 210.0
100 122 3846 210.0
75 123 3863 215.0
150 124 3871 216.0
100 125 3883 218.0
100 126 3886 219.0
500 127 3892 220.0
75 128 3893 220.0
100 129 3900 222.0
50 130 3913 226.0
100 131 3916 227.0
500 132 3928 231.0
50 133 3929 231.0
500 134 3931 232.0
100 135 3934 232.0
100 136 3951 236.0
150 137 3954 237.0
50 138 3957 238.0
100 139 3972 240.0
150 140 3978 242.0
100 141 3988 243.0
100 142 3989 243.0
50 143 3999 245.0
500 144 4007 247.0
100 145 4013 247.0
150 146 4017 248.0
75 147 4032 251.0
100 148 4040 253.0
100 149 4046 254.0
100 150 4049 255.0
75 151 4060 257.0
100 152 4065 258.0
100 153 4068 258.0
100 154 4072 259.0
500 155 4076 260.0
500 156 4083 262.0
500 157 4088 263.0
100 158 4102 269.0
50 159 4115 272.0
500 160 4117 273.0
75 161 4121 273.0
500 162 4126 274.0
500 163 4127 274.0
100 164 4138 278.0
150 165 4144 281.0
150 166 4147 285.0
100 167 4150 287.0
50 168 4161 290.0
100 169 4163 291.0
75 170 4165 291.0
100 171 4179 295.0
100 172 4182 303.0
100 173 4192 318.0
500 174 4196 330.0
100 175 4203 340.0
150 176 4215 391.0
50 177 4218 399.0
100 178 4222 399.0
50 179 4223 399.0
75 180 4228 415.0
