#data counter step time
100 1 444 10.0
500 2 452 10.0
100 3 458 10.0
150 4 461 10.0
50 5 463 10.0
150 6 490 11.0
75 7 493 11.0
50 8 494 11.0
100 9 508 11.0
75 10 533 12.0
100 11 538 12.0
75 12 545 12.0
500 13 572 13.0
50 14 575 13.0
150 15 576 13.0
75 16 591 13.0
100 17 608 14.0
150 18 614 14.0
75 19 622 14.0
150 20 623 14.0
150 21 628 14.0
50 22 634 14.0
150 23 645 14.0
100 24 672 15.0
100 25 676 15.0
75 26 683 15.0
100 27 687 15.0
100 28 695 16.0
150 29 716 16.0
75 30 723 16.0
100 31 757 17.0
150 32 762 17.0
75 33 791 18.0
150 34 797 18.0
75 35 810 18.0
75 36 813 18.0
500 37 820 18.0
500 38 857 19.0
500 39 885 20.0
50 40 898 20.0
500 41 931 21.0
75 42 1035 23.0
