#data counter step time
100 1 458 10.0
500 2 475 10.0
150 3 478 10.0
100 4 487 10.0
50 5 488 10.0
500 6 503 11.0
100 7 534 11.0
75 8 540 11.0
150 9 563 12.0
100 10 569 12.0
100 11 570 12.0
75 12 571 12.0
100 13 581 12.0
150 14 609 13.0
75 15 613 13.0
75 16 615 13.0
50 17 616 13.0
100 18 625 13.0
50 19 658 14.0
75 20 659 14.0
100 21 662 14.0
100 22 707 15.0
150 23 708 15.0
100 24 711 15.0
500 25 713 15.0
500 26 716 15.0
100 27 720 15.0
100 28 757 16.0
500 29 764 16.0
50 30 765 16.0
75 31 778 17.0
50 32 822 17.0
150 33 893 19.0
75 34 901 19.0
75 35 911 19.0
50 36 929 20.0
50 37 970 21.0
