#data counter step time
100 1 1478 59.0
150 2 1775 79.0
50 3 1789 80.0
50 4 1813 81.0
75 5 1850 83.0
100 6 1949 91.0
100 7 1980 94.0
100 8 1999 95.0
150 9 2056 98.0
100 10 2079 99.0
150 11 2083 99.0
150 12 2131 102.0
150 13 2138 102.0
50 14 2204 105.0
75 15 2258 109.0
150 16 2276 110.0
100 17 2315 112.0
500 18 2389 116.0
50 19 2396 116.0
150 20 2516 122.0
150 21 2518 122.0
100 22 2543 123.0
50 23 2550 124.0
100 24 2580 126.0
100 25 2587 127.0
100 26 2597 128.0
50 27 2631 130.0
75 28 2634 130.0
150 29 2677 132.0
150 30 2690 132.0
100 31 2704 134.0
75 32 2714 134.0
100 33 2742 136.0
75 34 2743 136.0
75 35 2751 137.0
500 36 2767 138.0
100 37 2770 138.0
75 38 2785 139.0
100 39 2798 139.0
500 40 2808 140.0
50 41 2831 142.0
50 42 2854 144.0
75 43 2857 144.0
100 44 2859 144.0
75 45 2870 145.0
500 46 2881 146.0
150 47 2895 147.0
50 48 2926 149.0
150 49 2935 149.0
75 50 2943 150.0
100 51 2966 151.0
100 52 2973 151.0
100 53 2974 151.0
100 54 2996 152.0
100 55 3014 153.0
100 56 3030 154.0
150 57 3035 154.0
150 58 3040 155.0
150 59 3060 157.0
50 60 3079 159.0
50 61 3085 159.0
150 62 3102 161.0
150 63 3103 161.0
75 64 3134 162.0
100 65 3156 164.0
50 66 3182 167.0
50 67 3190 170.0
100 68 3195 170.0
50 69 3206 171.0
150 70 3208 171.0
75 71 3239 173.0
500 72 3246 173.0
100 73 3268 175.0
50 74 3272 176.0
100 75 3273 176.0
500 76 3280 176.0
100 77 3292 178.0
150 78 3305 180.0
150 79 3310 180.0
500 80 3315 180.0
50 81 3334 182.0
100 82 3355 183.0
150 83 3394 185.0
500 84 3402 186.0
150 85 3405 186.0
500 86 3425 187.0
100 87 3448 188.0
100 88 3470 189.0
100 89 3489 190.0
100 90 3495 190.0
75 91 3522 191.0
150 92 3623 195.0
150 93 3640 198.0
75 94 3650 200.0
75 95 3656 200.0
150 96 3657 200.0
75 97 3661 201.0
100 98 3663 201.0
150 99 3673 202.0
150 100 3677 202.0
500 101 3683 203.0
100 102 3690 203.0
50 103 3694 204.0
150 104 3703 205.0
100 105 3707 205.0
100 106 3714 206.0
100 107 3718 206.0
100 108 3721 207.0
100 109 3722 207.0
100 110 3727 208.0
100 111 3728 208.0
75 112 3736 209.0
150 113 3747 210.0
500 114 3757 212.0
75 115 3762 213.0
100 116 3766 213.0
50 117 3767 213.0
500 118 3776 215.0
100 119 3782 216.0
150 120 3783 216.0
100 121 3786 216.0
50 122 3790 217.0
75 123 3793 217.0
50 124 3796 217.0
100 125 3798 217.0
150 126 3804 218.0
150 127 3813 219.0
150 128 3836 222.0
150 129 3837 222.0
100 130 3850 224.0
100 131 3852 225.0
100 132 3855 225.0
500 133 3856 225.0
100 134 3865 227.0
50 135 3869 229.0
150 136 3878 230.0
50 137 3879 230.0
50 138 3888 231.0
50 139 3907 235.0
150 140 3910 236.0
150 141 3917 237.0
500 142 3918 237.0
100 143 3924 239.0
500 144 3937 243.0
100 145 3943 244.0
500 146 3946 245.0
75 147 3969 251.0
50 148 3971 251.0
100 149 3976 252.0
75 150 3987 255.0
75 151 3991 260.0
100 152 3997 261.0
500 153 4000 262.0
100 154 4008 265.0
150 155 4011 266.0
50 156 4018 268.0
500 157 4022 270.0
100 158 4025 270.0
150 159 4029 271.0
500 160 4054 287.0
50 161 4062 291.0
100 162 4075 294.0
150 163 4088 307.0
100 164 4093 311.0
100 165 4111 331.0
500 166 4117 341.0
75 167 4120 351.0
150 168 4123 359.0
500 169 4126 364.0
100 170 4128 365.0
100 171 4132 370.0
100 172 4136 375.0
100 173 4138 383.0
75 174 4150 464.0
