#data counter step time
75 1 1535 68.0
50 2 1688 77.0
75 3 1713 79.0
50 4 1718 79.0
50 5 1753 81.0
100 6 1809 87.0
100 7 1843 89.0
75 8 1874 91.0
100 9 1876 91.0
150 10 1986 99.0
150 11 1987 99.0
150 12 1994 99.0
50 13 2080 104.0
100 14 2135 107.0
100 15 2186 110.0
100 16 2189 110.0
50 17 2201 111.0
50 18 2240 113.0
75 19 2291 116.0
500 20 2292 116.0
75 21 2304 117.0
150 22 2319 118.0
100 23 2347 119.0
500 24 2384 122.0
500 25 2406 123.0
75 26 2439 125.0
150 27 2472 127.0
50 28 2476 127.0
150 29 2485 127.0
100 30 2497 128.0
500 31 2516 129.0
50 32 2531 130.0
100 33 2541 131.0
500 34 2553 131.0
500 35 2559 132.0
150 36 2560 132.0
500 37 2561 132.0
50 38 2602 135.0
75 39 2629 137.0
100 40 2654 138.0
75 41 2667 140.0
150 42 2695 141.0
50 43 2699 142.0
100 44 2721 143.0
500 45 2735 144.0
75 46 2771 147.0
150 47 2787 149.0
150 48 2807 152.0
150 49 2808 152.0
150 50 2810 152.0
500 51 2813 152.0
75 52 2824 153.0
150 53 2827 154.0
100 54 2832 154.0
150 55 2870 156.0
75 56 2881 157.0
75 57 2886 157.0
150 58 2898 158.0
150 59 2911 159.0
100 60 2925 159.0
500 61 2930 160.0
500 62 2945 161.0
50 63 2960 162.0
100 64 2961 163.0
500 65 2969 163.0
100 66 2978 164.0
50 67 2989 165.0
50 68 3016 168.0
500 69 3024 170.0
500 70 3026 170.0
100 71 3031 171.0
500 72 3038 172.0
100 73 3046 173.0
50 74 3058 174.0
50 75 3072 176.0
150 76 3090 178.0
100 77 3100 178.0
100 78 3101 178.0
150 79 3112 180.0
75 80 3114 180.0
50 81 3117 180.0
75 82 3147 182.0
75 83 3151 182.0
500 84 3181 184.0
100 85 3208 186.0
100 86 3218 187.0
500 87 3219 187.0
150 88 3240 188.0
50 89 3252 189.0
100 90 3274 190.0
100 91 3298 192.0
50 92 3314 193.0
75 93 3337 194.0
75 94 3370 196.0
100 95 3380 196.0
50 96 3386 197.0
150 97 3389 197.0
100 98 3399 197.0
50 99 3411 198.0
150 100 3434 200.0
100 101 3440 200.0
150 102 3445 201.0
75 103 3449 202.0
500 104 3457 202.0
100 105 3463 203.0
150 106 3464 203.0
100 107 3482 205.0
150 108 3489 207.0
75 109 3503 210.0
50 110 3523 214.0
50 111 3538 217.0
100 112 3543 219.0
100 113 3546 219.0
50 114 3550 220.0
100 115 3554 221.0
100 116 3562 223.0
75 117 3573 224.0
150 118 3589 227.0
500 119 3595 228.0
75 120 3598 228.0
100 121 3611 234.0
100 122 3616 236.0
150 123 3625 237.0
100 124 3631 238.0
150 125 3635 238.0
100 126 3636 238.0
500 127 3652 241.0
75 128 3656 241.0
150 129 3680 249.0
100 130 3689 253.0
500 131 3690 253.0
150 132 3693 254.0
75 133 3698 255.0
500 134 3704 256.0
75 135 3705 256.0
75 136 3710 258.0
150 137 3725 263.0
100 138 3727 264.0
150 139 3785 298.0
50 140 3795 302.0
50 141 3797 303.0
500 142 3806 308.0
150 143 3814 311.0
100 144 3815 311.0
100 145 3830 318.0
100 146 3846 329.0
50 147 3850 330.0
100 148 3854 335.0
500 149 3859 335.0
100 150 3867 338.0
500 151 3894 354.0
75 152 3900 358.0
100 153 3904 366.0
150 154 3907 375.0
150 155 3916 394.0
75 156 3920 399.0
150 157 3925 409.0
75 158 3931 433.0
50 159 3933 443.0
