#data counter step time
100 1 430 10.0
500 2 454 10.0
150 3 456 10.0
500 4 464 10.0
100 5 485 11.0
100 6 493 11.0
100 7 497 11.0
50 8 501 11.0
100 9 524 12.0
100 10 534 12.0
500 11 537 12.0
50 12 539 12.0
50 13 547 12.0
75 14 557 12.0
500 15 579 13.0
100 16 581 13.0
100 17 584 13.0
150 18 600 14.0
150 19 606 14.0
75 20 618 14.0
50 21 619 14.0
100 22 629 14.0
50 23 633 14.0
100 24 641 14.0
100 25 661 15.0
150 26 664 15.0
150 27 670 15.0
100 28 676 15.0
75 29 707 16.0
150 30 708 16.0
100 31 711 16.0
100 32 716 16.0
75 33 722 16.0
100 34 752 17.0
50 35 798 18.0
100 36 802 18.0
50 37 831 19.0
150 38 834 19.0
100 39 873 20.0
75 40 898 20.0
500 41 906 20.0
100 42 938 21.0
50 43 941 21.0
100 44 980 22.0
100 45 990 22.0
