#data counter step time
100 1 462 10.0
75 2 467 10.0
100 3 468 10.0
150 4 472 10.0
50 5 473 10.0
100 6 475 10.0
100 7 485 10.0
150 8 505 11.0
100 9 522 11.0
75 10 525 11.0
50 11 534 11.0
150 12 537 11.0
50 13 567 12.0
75 14 568 12.0
50 15 574 12.0
100 16 575 12.0
150 17 581 12.0
100 18 582 12.0
100 19 604 13.0
500 20 608 13.0
50 21 614 13.0
100 22 635 13.0
100 23 640 13.0
50 24 664 14.0
500 25 665 14.0
150 26 673 14.0
150 27 676 14.0
75 28 708 15.0
100 29 724 15.0
75 30 730 15.0
75 31 737 16.0
500 32 739 16.0
100 33 794 17.0
75 34 811 17.0
500 35 935 20.0
50 36 1038 22.0
