#data counter step time
150 1 1432 51.0
100 2 1453 53.0
150 3 1812 77.0
150 4 1841 80.0
100 5 1959 86.0
100 6 2019 90.0
100 7 2020 90.0
150 8 2033 92.0
75 9 2062 93.0
500 10 2066 94.0
50 11 2093 95.0
100 12 2110 96.0
500 13 2130 97.0
150 14 2142 98.0
100 15 2164 99.0
75 16 2166 99.0
50 17 2167 99.0
100 18 2187 100.0
100 19 2206 101.0
75 20 2240 103.0
500 21 2269 104.0
75 22 2289 105.0
100 23 2314 107.0
100 24 2336 108.0
75 25 2357 109.0
100 26 2384 110.0
100 27 2391 111.0
50 28 2428 113.0
100 29 2442 114.0
75 30 2444 114.0
75 31 2494 117.0
150 32 2531 119.0
75 33 2622 125.0
500 34 2696 130.0
75 35 2699 130.0
500 36 2747 133.0
50 37 2748 133.0
100 38 2758 133.0
500 39 2778 135.0
500 40 2782 135.0
100 41 2787 135.0
50 42 2808 136.0
100 43 2816 137.0
100 44 2828 137.0
500 45 2845 139.0
500 46 2863 140.0
50 47 2877 141.0
100 48 2889 142.0
100 49 2892 142.0
75 50 2908 143.0
100 51 2917 143.0
100 52 2943 145.0
150 53 2957 146.0
150 54 2959 146.0
75 55 2973 147.0
100 56 2998 149.0
75 57 3006 150.0
75 58 3007 150.0
100 59 3008 150.0
75 60 3015 151.0
150 61 3018 151.0
50 62 3046 153.0
50 63 3054 153.0
500 64 3069 154.0
50 65 3086 156.0
50 66 3088 156.0
75 67 3092 156.0
500 68 3093 156.0
75 69 3107 157.0
500 70 3112 158.0
100 71 3119 158.0
500 72 3145 160.0
500 73 3146 160.0
75 74 3147 160.0
100 75 3161 161.0
100 76 3183 163.0
100 77 3185 163.0
75 78 3196 164.0
100 79 3201 164.0
100 80 3203 164.0
75 81 3214 165.0
500 82 3219 165.0
150 83 3222 165.0
500 84 3236 166.0
150 85 3238 166.0
75 86 3245 166.0
150 87 3261 167.0
75 88 3262 167.0
500 89 3273 168.0
50 90 3297 169.0
500 91 3323 172.0
100 92 3330 173.0
150 93 3332 173.0
500 94 3341 174.0
100 95 3344 174.0
500 96 3345 174.0
50 97 3359 175.0
100 98 3360 175.0
150 99 3376 176.0
50 100 3399 177.0
100 101 3407 178.0
500 102 3414 179.0
500 103 3415 179.0
150 104 3426 180.0
150 105 3439 181.0
150 106 3491 184.0
75 107 3509 185.0
150 108 3510 185.0
500 109 3553 187.0
100 110 3556 187.0
150 111 3558 187.0
75 112 3574 187.0
75 113 3602 189.0
75 114 3609 189.0
150 115 3671 191.0
500 116 3675 191.0
500 117 3684 191.0
100 118 3695 192.0
100 119 3711 192.0
100 120 3730 193.0
500 121 3735 193.0
500 122 3756 194.0
100 123 3769 196.0
75 124 3783 199.0
50 125 3785 200.0
500 126 3788 200.0
100 127 3790 201.0
50 128 3793 201.0
100 129 3801 202.0
500 130 3803 203.0
100 131 3813 204.0
100 132 3817 205.0
50 133 3827 207.0
100 134 3866 213.0
100 135 3873 214.0
75 136 3875 214.0
100 137 3885 216.0
50 138 3886 216.0
100 139 3889 217.0
75 140 3892 218.0
100 141 3895 218.0
150 142 3906 220.0
500 143 3928 227.0
100 144 3929 227.0
150 145 3931 227.0
100 146 3932 228.0
75 147 3935 228.0
500 148 3953 233.0
100 149 3955 235.0
150 150 3963 237.0
500 151 3965 237.0
75 152 3980 238.0
100 153 3995 242.0
500 154 4002 245.0
100 155 4005 246.0
50 156 4017 253.0
500 157 4031 256.0
500 158 4035 257.0
50 159 4040 257.0
75 160 4045 258.0
100 161 4050 259.0
150 162 4064 263.0
100 163 4067 267.0
500 164 4072 271.0
75 165 4081 274.0
50 166 4091 277.0
100 167 4094 278.0
50 168 4098 279.0
500 169 4100 280.0
100 170 4104 282.0
150 171 4117 286.0
50 172 4121 287.0
150 173 4127 293.0
75 174 4134 297.0
150 175 4138 307.0
500 176 4140 313.0
150 177 4144 317.0
150 178 4146 319.0
50 179 4173 358.0
100 180 4175 383.0
75 181 4178 387.0
100 182 4181 391.0
