#data counter step time
50 1 1335 56.0
75 2 1559 78.0
75 3 1688 87.0
100 4 1738 90.0
100 5 1822 97.0
150 6 1847 99.0
50 7 1914 104.0
50 8 1916 104.0
150 9 1928 105.0
100 10 1934 106.0
75 11 1970 108.0
150 12 1971 108.0
50 13 1982 108.0
150 14 1989 109.0
100 15 2016 111.0
75 16 2018 111.0
100 17 2102 115.0
100 18 2121 116.0
150 19 2124 116.0
100 20 2163 118.0
100 21 2192 120.0
100 22 2236 123.0
100 23 2270 125.0
100 24 2280 126.0
150 25 2288 127.0
100 26 2355 131.0
75 27 2421 136.0
500 28 2457 140.0
75 29 2470 141.0
100 30 2486 143.0
75 31 2488 144.0
75 32 2511 145.0
100 33 2531 147.0
100 34 2548 148.0
75 35 2550 148.0
50 36 2570 150.0
150 37 2582 151.0
50 38 2596 152.0
75 39 2621 154.0
75 40 2632 155.0
100 41 2650 156.0
500 42 2651 156.0
500 43 2658 157.0
75 44 2659 157.0
150 45 2660 157.0
150 46 2676 159.0
75 47 2685 160.0
100 48 2716 164.0
50 49 2742 165.0
100 50 2749 166.0
100 51 2765 167.0
100 52 2770 167.0
150 53 2771 167.0
50 54 2788 169.0
150 55 2805 171.0
75 56 2818 172.0
150 57 2827 173.0
75 58 2828 173.0
50 59 2839 174.0
150 60 2842 174.0
75 61 2853 175.0
100 62 2864 176.0
150 63 2868 177.0
50 64 2877 178.0
100 65 2889 179.0
500 66 2897 180.0
150 67 2911 181.0
500 68 2937 182.0
100 69 2949 183.0
150 70 2953 183.0
50 71 2957 183.0
50 72 2965 184.0
500 73 3020 188.0
75 74 3029 188.0
150 75 3033 189.0
500 76 3086 193.0
500 77 3087 193.0
100 78 3098 194.0
150 79 3100 194.0
150 80 3112 195.0
500 81 3121 195.0
50 82 3141 196.0
100 83 3169 198.0
50 84 3172 198.0
150 85 3183 199.0
100 86 3187 199.0
100 87 3210 200.0
150 88 3228 201.0
50 89 3252 202.0
75 90 3270 203.0
100 91 3274 204.0
75 92 3293 207.0
100 93 3296 208.0
100 94 3302 209.0
150 95 3313 210.0
75 96 3321 211.0
150 97 3330 214.0
50 98 3331 214.0
50 99 3337 215.0
75 100 3339 215.0
100 101 3345 217.0
150 102 3348 217.0
50 103 3356 219.0
75 104 3357 219.0
500 105 3358 219.0
150 106 3378 221.0
100 107 3388 224.0
50 108 3390 224.0
150 109 3401 227.0
500 110 3405 228.0
75 111 3419 231.0
100 112 3422 231.0
100 113 3424 232.0
150 114 3432 233.0
50 115 3437 234.0
100 116 3445 237.0
75 117 3447 238.0
500 118 3455 242.0
500 119 3458 243.0
50 120 3461 244.0
150 121 3465 245.0
100 122 3466 245.0
150 123 3467 245.0
500 124 3490 251.0
100 125 3493 251.0
500 126 3499 254.0
100 127 3502 254.0
75 128 3504 255.0
50 129 3507 256.0
100 130 3513 258.0
100 131 3516 260.0
100 132 3520 261.0
500 133 3522 262.0
50 134 3528 263.0
50 135 3530 264.0
500 136 3536 268.0
75 137 3542 272.0
100 138 3546 275.0
75 139 3547 276.0
100 140 3551 280.0
100 141 3553 281.0
150 142 3564 288.0
150 143 3577 298.0
500 144 3592 316.0
50 145 3594 323.0
150 146 3601 332.0
100 147 3607 339.0
100 148 3611 346.0
50 149 3612 347.0
500 150 3616 353.0
50 151 3619 369.0
