#data counter step time
100 1 1511 67.0
500 2 1749 83.0
75 3 1836 87.0
500 4 1895 89.0
75 5 1908 90.0
500 6 1961 94.0
100 7 1988 96.0
150 8 1994 96.0
100 9 2063 101.0
75 10 2127 105.0
150 11 2130 106.0
50 12 2139 107.0
75 13 2148 108.0
100 14 2151 108.0
150 15 2171 109.0
50 16 2223 112.0
50 17 2305 116.0
100 18 2318 117.0
50 19 2319 117.0
100 20 2322 117.0
500 21 2398 121.0
50 22 2404 121.0
500 23 2426 122.0
500 24 2438 124.0
100 25 2455 125.0
50 26 2465 126.0
500 27 2468 126.0
150 28 2476 126.0
150 29 2502 128.0
50 30 2515 129.0
100 31 2516 129.0
50 32 2517 129.0
100 33 2532 130.0
75 34 2546 131.0
75 35 2558 132.0
50 36 2559 132.0
500 37 2572 133.0
100 38 2596 134.0
75 39 2645 140.0
500 40 2646 140.0
100 41 2647 140.0
50 42 2666 141.0
500 43 2670 141.0
75 44 2673 141.0
100 45 2677 141.0
150 46 2682 142.0
50 47 2716 144.0
100 48 2717 144.0
500 49 2719 144.0
50 50 2736 145.0
100 51 2751 146.0
500 52 2771 148.0
500 53 2772 148.0
75 54 2790 149.0
500 55 2808 151.0
500 56 2809 151.0
50 57 2816 151.0
75 58 2828 152.0
100 59 2831 152.0
100 60 2848 154.0
500 61 2854 154.0
75 62 2864 156.0
100 63 2866 156.0
100 64 2877 157.0
50 65 2888 158.0
100 66 2898 159.0
50 67 2905 160.0
150 68 2908 160.0
100 69 2920 161.0
500 70 2923 162.0
100 71 2924 162.0
50 72 2926 162.0
150 73 2936 163.0
50 74 2941 164.0
75 75 2944 164.0
100 76 2951 166.0
150 77 2960 167.0
500 78 2972 169.0
150 79 2986 172.0
100 80 2995 173.0
500 81 3009 174.0
50 82 3014 174.0
50 83 3045 177.0
100 84 3046 177.0
50 85 3053 177.0
150 86 3057 177.0
50 87 3076 179.0
500 88 3085 180.0
75 89 3087 180.0
50 90 3093 181.0
100 91 3136 184.0
100 92 3153 185.0
150 93 3232 190.0
100 94 3240 191.0
50 95 3266 192.0
75 96 3298 194.0
50 97 3314 195.0
500 98 3330 195.0
50 99 3337 196.0
50 100 3342 196.0
75 101 3356 197.0
100 102 3424 200.0
500 103 3452 202.0
100 104 3475 205.0
100 105 3485 208.0
100 106 3490 209.0
100 107 3495 212.0
100 108 3505 214.0
150 109 3513 215.0
100 110 3518 216.0
50 111 3521 217.0
75 112 3542 222.0
75 113 3549 223.0
100 114 3551 223.0
150 115 3554 223.0
150 116 3556 224.0
100 117 3564 225.0
50 118 3586 228.0
50 119 3595 229.0
75 120 3602 231.0
75 121 3603 231.0
100 122 3605 231.0
100 123 3612 233.0
100 124 3618 234.0
500 125 3621 235.0
500 126 3628 238.0
100 127 3631 238.0
500 128 3632 238.0
50 129 3635 239.0
500 130 3644 241.0
100 131 3646 241.0
75 132 3649 242.0
100 133 3650 242.0
500 134 3661 243.0
100 135 3674 248.0
100 136 3679 248.0
150 137 3682 249.0
150 138 3693 252.0
50 139 3696 253.0
100 140 3708 256.0
100 141 3718 260.0
100 142 3727 264.0
150 143 3731 266.0
100 144 3734 267.0
100 145 3735 268.0
150 146 3751 277.0
150 147 3755 278.0
75 148 3764 281.0
150 149 3770 284.0
100 150 3775 287.0
75 151 3782 294.0
100 152 3784 294.0
50 153 3789 297.0
100 154 3799 307.0
100 155 3802 308.0
150 156 3804 309.0
150 157 3810 311.0
50 158 3815 316.0
75 159 3824 336.0
100 160 3837 358.0
75 161 3846 367.0
500 162 3848 372.0
75 163 3851 375.0
