#data counter
4958888.888889 1
4569986.111111 2
5155955.056180 3
3580621.408046 4
4377034.023669 5
3793051.264045 6
3883149.857955 7
3273966.480447 8
4154270.231214 9
3838214.285714 10
3955000.000000 11
4611835.714286 12
4562373.595506 13
2526750.000000 14
3774855.491329 15
4392529.239766 16
4413884.180791 17
4479818.435754 18
4214915.644172 19
3626930.147059 20
3857939.393939 21
3234770.710059 22
5495079.479769 23
3535744.382022 24
3553427.672956 25
3455065.789474 26
3928782.327586 27
4124371.366279 28
4919621.527778 29
3478089.887640 30
