#data counter step time
500 1 1297 57.0
150 2 1477 72.0
75 3 1629 83.0
75 4 1733 92.0
100 5 1781 97.0
50 6 1871 104.0
50 7 1900 107.0
150 8 1925 109.0
100 9 1965 113.0
50 10 2003 116.0
500 11 2004 116.0
100 12 2036 118.0
50 13 2041 118.0
75 14 2078 120.0
75 15 2083 121.0
100 16 2085 121.0
150 17 2118 124.0
75 18 2121 124.0
100 19 2146 126.0
75 20 2155 127.0
150 21 2265 133.0
75 22 2268 133.0
75 23 2272 133.0
50 24 2297 134.0
150 25 2307 135.0
75 26 2311 135.0
150 27 2314 135.0
50 28 2321 136.0
500 29 2328 136.0
75 30 2347 137.0
100 31 2400 142.0
100 32 2404 142.0
100 33 2433 145.0
100 34 2439 145.0
150 35 2443 146.0
100 36 2456 147.0
500 37 2460 148.0
500 38 2475 149.0
75 39 2502 151.0
150 40 2505 151.0
500 41 2526 153.0
100 42 2534 154.0
100 43 2554 157.0
100 44 2559 158.0
100 45 2565 159.0
100 46 2573 161.0
50 47 2576 162.0
50 48 2577 162.0
100 49 2591 163.0
75 50 2596 164.0
500 51 2621 166.0
150 52 2626 166.0
100 53 2634 167.0
75 54 2635 167.0
150 55 2658 169.0
500 56 2663 169.0
150 57 2677 170.0
100 58 2699 172.0
150 59 2700 172.0
100 60 2716 173.0
50 61 2718 173.0
500 62 2719 173.0
100 63 2726 174.0
500 64 2742 175.0
75 65 2784 179.0
100 66 2794 179.0
100 67 2800 180.0
100 68 2817 182.0
500 69 2825 183.0
100 70 2870 187.0
50 71 2889 188.0
75 72 2912 190.0
75 73 2933 191.0
75 74 2944 192.0
500 75 2961 193.0
500 76 2962 193.0
150 77 2967 193.0
100 78 2977 194.0
100 79 2994 195.0
100 80 3042 197.0
150 81 3121 202.0
50 82 3129 203.0
150 83 3138 205.0
150 84 3172 214.0
100 85 3176 216.0
150 86 3179 216.0
500 87 3185 217.0
100 88 3186 217.0
500 89 3190 218.0
50 90 3201 219.0
75 91 3209 220.0
500 92 3216 221.0
150 93 3225 223.0
100 94 3228 224.0
50 95 3229 224.0
75 96 3232 224.0
50 97 3235 225.0
75 98 3244 229.0
100 99 3251 233.0
75 100 3264 236.0
500 101 3267 237.0
150 102 3272 238.0
150 103 3278 238.0
150 104 3295 242.0
75 105 3301 244.0
50 106 3304 246.0
75 107 3310 248.0
150 108 3319 250.0
50 109 3325 251.0
100 110 3332 252.0
50 111 3338 255.0
100 112 3341 256.0
150 113 3345 257.0
100 114 3349 258.0
50 115 3357 261.0
500 116 3364 266.0
100 117 3373 269.0
150 118 3379 271.0
75 119 3397 276.0
500 120 3420 287.0
150 121 3422 288.0
50 122 3424 289.0
100 123 3428 290.0
75 124 3431 294.0
150 125 3433 295.0
150 126 3446 301.0
500 127 3454 303.0
500 128 3459 313.0
150 129 3482 333.0
100 130 3483 333.0
50 131 3490 337.0
100 132 3494 340.0
50 133 3496 341.0
50 134 3502 344.0
50 135 3512 355.0
50 136 3532 376.0
500 137 3541 389.0
150 138 3545 391.0
500 139 3546 391.0
150 140 3555 411.0
75 141 3565 469.0
150 142 3568 490.0
