#data counter
265.000000 1
198.333333 2
145.454545 3
171.875000 4
130.000000 5
223.333333 6
165.000000 7
189.285714 8
88.888889 9
287.500000 10
111.111111 11
133.333333 12
195.312500 13
190.000000 14
201.562500 15
172.727273 16
225.000000 17
213.461538 18
213.333333 19
100.000000 20
221.875000 21
128.846154 22
97.222222 23
143.750000 24
145.000000 25
181.578947 26
150.000000 27
196.428571 28
260.000000 29
202.083333 30
