#data counter step time
150 1 1554 73.0
50 2 1924 95.0
500 3 1983 98.0
100 4 1998 99.0
100 5 2023 100.0
75 6 2026 100.0
100 7 2050 102.0
500 8 2062 103.0
500 9 2063 103.0
150 10 2071 103.0
75 11 2078 104.0
50 12 2106 106.0
100 13 2133 109.0
75 14 2151 110.0
150 15 2205 113.0
100 16 2207 113.0
500 17 2223 114.0
75 18 2312 120.0
100 19 2357 123.0
150 20 2379 124.0
100 21 2405 126.0
75 22 2423 128.0
100 23 2433 129.0
100 24 2455 130.0
100 25 2493 135.0
50 26 2503 136.0
100 27 2539 139.0
150 28 2547 139.0
500 29 2554 140.0
50 30 2578 141.0
500 31 2629 143.0
100 32 2647 144.0
75 33 2657 145.0
100 34 2659 145.0
100 35 2676 146.0
50 36 2689 147.0
50 37 2691 147.0
50 38 2715 150.0
500 39 2716 150.0
75 40 2725 151.0
100 41 2738 152.0
500 42 2755 153.0
150 43 2762 154.0
500 44 2770 154.0
150 45 2784 155.0
100 46 2794 156.0
100 47 2811 157.0
100 48 2812 157.0
500 49 2824 158.0
100 50 2834 159.0
75 51 2839 160.0
100 52 2856 161.0
150 53 2868 162.0
500 54 2877 163.0
75 55 2878 163.0
500 56 2891 164.0
50 57 2906 165.0
50 58 2922 166.0
150 59 2928 167.0
500 60 2937 168.0
75 61 2947 169.0
500 62 2957 170.0
150 63 2982 172.0
100 64 2992 173.0
50 65 2993 173.0
500 66 2997 173.0
500 67 3006 174.0
100 68 3030 176.0
150 69 3034 177.0
50 70 3039 178.0
150 71 3075 182.0
500 72 3079 182.0
500 73 3101 184.0
50 74 3117 185.0
75 75 3134 186.0
100 76 3138 186.0
75 77 3153 187.0
500 78 3180 189.0
500 79 3189 189.0
100 80 3205 190.0
75 81 3209 190.0
100 82 3228 191.0
100 83 3242 192.0
500 84 3252 192.0
500 85 3264 193.0
100 86 3271 193.0
100 87 3288 194.0
500 88 3314 196.0
500 89 3321 196.0
50 90 3346 198.0
500 91 3352 198.0
100 92 3354 198.0
100 93 3359 198.0
150 94 3375 199.0
100 95 3382 199.0
100 96 3393 201.0
150 97 3396 201.0
50 98 3397 201.0
75 99 3400 201.0
150 100 3410 202.0
500 101 3419 202.0
50 102 3430 204.0
50 103 3447 206.0
500 104 3456 207.0
50 105 3459 208.0
500 106 3463 208.0
75 107 3473 209.0
75 108 3474 209.0
500 109 3480 210.0
75 110 3483 210.0
150 111 3490 212.0
50 112 3491 212.0
100 113 3502 213.0
100 114 3507 215.0
100 115 3511 215.0
50 116 3528 218.0
50 117 3536 219.0
100 118 3537 219.0
50 119 3561 223.0
75 120 3564 224.0
75 121 3570 226.0
50 122 3581 228.0
500 123 3582 228.0
75 124 3589 229.0
75 125 3595 230.0
50 126 3598 231.0
100 127 3604 232.0
100 128 3622 235.0
500 129 3625 235.0
100 130 3637 238.0
100 131 3642 240.0
100 132 3648 242.0
150 133 3654 244.0
75 134 3661 248.0
75 135 3663 249.0
100 136 3669 250.0
100 137 3675 253.0
75 138 3678 254.0
500 139 3686 257.0
100 140 3691 260.0
100 141 3692 260.0
150 142 3698 266.0
75 143 3699 267.0
100 144 3711 271.0
500 145 3720 277.0
100 146 3724 279.0
100 147 3733 290.0
100 148 3736 291.0
100 149 3740 291.0
100 150 3748 299.0
50 151 3754 302.0
100 152 3763 318.0
100 153 3766 326.0
500 154 3769 329.0
100 155 3774 338.0
100 156 3782 370.0
150 157 3784 402.0
100 158 3794 506.0
