#data counter step time
50 1 1549 60.0
100 2 1724 75.0
100 3 1836 82.0
100 4 1843 82.0
150 5 2018 94.0
100 6 2095 99.0
50 7 2137 101.0
50 8 2155 103.0
50 9 2166 104.0
100 10 2189 105.0
100 11 2247 108.0
100 12 2296 111.0
150 13 2316 112.0
50 14 2348 114.0
50 15 2368 115.0
150 16 2407 117.0
100 17 2414 117.0
75 18 2438 118.0
100 19 2459 119.0
50 20 2465 119.0
50 21 2474 120.0
100 22 2500 121.0
100 23 2520 122.0
150 24 2530 123.0
75 25 2531 123.0
500 26 2567 124.0
75 27 2575 125.0
100 28 2584 125.0
100 29 2619 127.0
150 30 2633 128.0
100 31 2654 130.0
150 32 2658 130.0
75 33 2659 130.0
150 34 2660 130.0
50 35 2691 132.0
100 36 2709 133.0
75 37 2712 133.0
50 38 2722 134.0
100 39 2727 134.0
100 40 2730 134.0
50 41 2749 136.0
150 42 2778 138.0
100 43 2779 138.0
75 44 2789 139.0
100 45 2811 140.0
150 46 2827 141.0
100 47 2830 141.0
150 48 2870 143.0
150 49 2871 143.0
100 50 2889 144.0
50 51 2916 146.0
75 52 2917 146.0
50 53 2922 146.0
75 54 2924 146.0
100 55 2979 151.0
500 56 2983 151.0
150 57 2994 153.0
150 58 3016 155.0
75 59 3032 157.0
75 60 3034 157.0
500 61 3052 159.0
100 62 3055 159.0
150 63 3077 160.0
100 64 3081 161.0
50 65 3113 164.0
500 66 3115 164.0
75 67 3119 165.0
75 68 3123 166.0
75 69 3124 166.0
500 70 3125 166.0
50 71 3131 166.0
500 72 3132 166.0
100 73 3163 169.0
500 74 3197 172.0
500 75 3212 173.0
150 76 3214 173.0
75 77 3224 173.0
500 78 3229 174.0
100 79 3231 174.0
50 80 3246 175.0
500 81 3248 175.0
500 82 3254 175.0
50 83 3256 175.0
150 84 3258 175.0
100 85 3289 177.0
75 86 3298 178.0
50 87 3311 179.0
100 88 3316 180.0
50 89 3340 181.0
150 90 3348 182.0
100 91 3369 183.0
100 92 3371 183.0
100 93 3374 183.0
100 94 3387 184.0
150 95 3407 185.0
50 96 3453 187.0
50 97 3553 191.0
150 98 3559 191.0
100 99 3571 191.0
150 100 3639 194.0
100 101 3644 194.0
150 102 3659 195.0
100 103 3689 196.0
150 104 3695 197.0
50 105 3696 197.0
500 106 3707 199.0
75 107 3712 200.0
100 108 3713 200.0
500 109 3723 201.0
100 110 3726 202.0
500 111 3730 203.0
100 112 3736 204.0
50 113 3741 205.0
75 114 3746 205.0
100 115 3753 207.0
100 116 3766 208.0
150 117 3769 209.0
50 118 3782 210.0
50 119 3797 212.0
500 120 3800 212.0
500 121 3804 213.0
75 122 3807 213.0
75 123 3819 217.0
75 124 3820 217.0
500 125 3821 217.0
500 126 3832 219.0
100 127 3847 222.0
75 128 3858 224.0
75 129 3870 226.0
500 130 3873 226.0
150 131 3877 228.0
100 132 3883 229.0
100 133 3889 232.0
150 134 3890 232.0
50 135 3895 233.0
50 136 3896 234.0
150 137 3909 237.0
150 138 3910 237.0
100 139 3933 241.0
500 140 3936 241.0
100 141 3942 244.0
150 142 3946 246.0
150 143 3950 247.0
100 144 3960 250.0
150 145 3965 251.0
50 146 3976 253.0
100 147 3993 260.0
100 148 3997 261.0
75 149 3998 261.0
500 150 4012 264.0
500 151 4022 266.0
50 152 4043 276.0
75 153 4044 276.0
100 154 4059 280.0
150 155 4060 280.0
500 156 4065 281.0
100 157 4072 283.0
100 158 4086 290.0
100 159 4102 296.0
500 160 4109 300.0
500 161 4116 304.0
100 162 4117 306.0
50 163 4120 307.0
50 164 4128 311.0
50 165 4171 346.0
100 166 4176 359.0
100 167 4177 360.0
500 168 4206 391.0
50 169 4229 409.0
75 170 4230 411.0
50 171 4240 433.0
50 172 4249 483.0
500 173 4251 484.0
100 174 4255 515.0
