#data counter step time
150 1 484 10.0
150 2 488 10.0
500 3 490 10.0
150 4 491 10.0
100 5 505 10.0
75 6 518 10.0
150 7 548 11.0
50 8 549 11.0
150 9 550 11.0
75 10 553 11.0
50 11 558 11.0
100 12 564 11.0
500 13 572 11.0
100 14 578 11.0
150 15 589 12.0
100 16 600 12.0
150 17 614 12.0
100 18 619 12.0
75 19 630 12.0
100 20 649 13.0
50 21 677 13.0
75 22 683 13.0
100 23 701 14.0
150 24 714 14.0
50 25 732 14.0
100 26 734 14.0
500 27 737 14.0
50 28 781 15.0
75 29 791 15.0
100 30 798 15.0
75 31 830 16.0
100 32 844 16.0
75 33 1008 19.0
