#data counter step time
100 1 1386 50.0
100 2 1568 69.0
75 3 1902 89.0
50 4 1963 94.0
100 5 2040 98.0
500 6 2050 98.0
75 7 2063 100.0
75 8 2076 100.0
100 9 2117 103.0
100 10 2121 104.0
500 11 2133 105.0
75 12 2209 110.0
50 13 2222 110.0
75 14 2287 114.0
50 15 2292 114.0
75 16 2307 115.0
100 17 2390 119.0
50 18 2408 119.0
50 19 2430 120.0
100 20 2469 123.0
75 21 2478 124.0
100 22 2488 125.0
75 23 2489 125.0
100 24 2490 125.0
500 25 2549 129.0
100 26 2568 130.0
100 27 2595 131.0
150 28 2600 132.0
50 29 2601 132.0
50 30 2623 133.0
100 31 2649 135.0
75 32 2658 135.0
100 33 2659 135.0
100 34 2687 138.0
50 35 2703 139.0
150 36 2735 141.0
100 37 2737 141.0
100 38 2768 143.0
500 39 2769 143.0
50 40 2781 144.0
150 41 2792 144.0
75 42 2799 145.0
150 43 2817 146.0
500 44 2845 147.0
100 45 2849 148.0
75 46 2852 148.0
100 47 2854 148.0
75 48 2881 149.0
75 49 2917 152.0
500 50 2926 152.0
50 51 2935 153.0
75 52 2942 154.0
100 53 2949 155.0
100 54 2950 155.0
50 55 2964 157.0
500 56 2967 157.0
500 57 2968 157.0
50 58 2973 158.0
150 59 2987 159.0
75 60 2991 160.0
50 61 2994 160.0
75 62 3012 162.0
100 63 3016 162.0
500 64 3018 162.0
100 65 3019 162.0
75 66 3034 163.0
100 67 3063 165.0
150 68 3065 165.0
500 69 3070 166.0
75 70 3071 166.0
100 71 3079 167.0
50 72 3081 167.0
100 73 3090 168.0
50 74 3091 168.0
100 75 3095 169.0
150 76 3100 169.0
150 77 3112 170.0
100 78 3113 170.0
50 79 3114 170.0
100 80 3129 171.0
100 81 3132 171.0
150 82 3163 173.0
75 83 3173 174.0
50 84 3176 174.0
100 85 3187 175.0
100 86 3190 175.0
150 87 3197 176.0
150 88 3216 177.0
100 89 3218 177.0
50 90 3256 180.0
150 91 3264 181.0
100 92 3273 181.0
100 93 3295 182.0
500 94 3318 183.0
100 95 3354 186.0
75 96 3397 188.0
50 97 3398 188.0
100 98 3424 190.0
500 99 3464 192.0
500 100 3483 193.0
100 101 3493 193.0
500 102 3514 194.0
150 103 3528 195.0
75 104 3529 195.0
100 105 3592 198.0
500 106 3594 199.0
100 107 3596 199.0
75 108 3597 199.0
150 109 3612 202.0
500 110 3614 203.0
100 111 3618 203.0
150 112 3625 204.0
100 113 3628 205.0
150 114 3631 206.0
50 115 3635 206.0
150 116 3640 206.0
50 117 3648 208.0
100 118 3659 210.0
75 119 3663 210.0
75 120 3690 214.0
75 121 3694 215.0
75 122 3708 218.0
150 123 3719 218.0
50 124 3733 222.0
75 125 3739 224.0
75 126 3749 226.0
150 127 3756 227.0
100 128 3762 228.0
150 129 3764 228.0
100 130 3765 228.0
500 131 3778 231.0
500 132 3779 231.0
150 133 3786 233.0
100 134 3790 233.0
75 135 3803 235.0
100 136 3809 236.0
150 137 3831 242.0
500 138 3833 243.0
75 139 3840 244.0
150 140 3848 249.0
50 141 3852 250.0
150 142 3860 254.0
75 143 3866 256.0
50 144 3885 262.0
500 145 3892 267.0
150 146 3910 275.0
50 147 3917 278.0
50 148 3920 278.0
100 149 3921 278.0
50 150 3934 282.0
75 151 3936 282.0
100 152 3938 282.0
100 153 3947 285.0
100 154 3950 287.0
75 155 3958 289.0
150 156 3963 290.0
150 157 3969 293.0
50 158 3970 294.0
100 159 3989 306.0
150 160 3999 314.0
100 161 4011 331.0
100 162 4016 335.0
500 163 4017 337.0
75 164 4024 344.0
75 165 4027 349.0
75 166 4032 354.0
50 167 4042 370.0
100 168 4046 420.0
150 169 4051 484.0
