#data counter step time
500 1 451 10.0
150 2 487 10.0
150 3 492 10.0
100 4 497 10.0
75 5 523 11.0
150 6 535 11.0
100 7 540 11.0
150 8 568 12.0
75 9 571 12.0
500 10 572 12.0
75 11 580 12.0
100 12 582 12.0
50 13 621 13.0
100 14 625 13.0
150 15 648 14.0
500 16 653 14.0
75 17 658 14.0
150 18 668 14.0
100 19 674 14.0
100 20 702 15.0
500 21 712 15.0
500 22 715 15.0
100 23 719 15.0
100 24 757 16.0
100 25 783 17.0
75 26 826 18.0
75 27 840 18.0
100 28 841 18.0
500 29 851 18.0
500 30 852 18.0
50 31 861 18.0
50 32 867 19.0
75 33 879 19.0
50 34 915 20.0
500 35 988 21.0
50 36 993 21.0
100 37 1005 22.0
100 38 1008 22.0
