#data counter step time
500 1 464 10.0
50 2 465 10.0
50 3 466 10.0
150 4 467 10.0
500 5 477 10.0
75 6 481 10.0
500 7 508 11.0
500 8 510 11.0
150 9 515 11.0
100 10 516 11.0
500 11 553 12.0
75 12 555 12.0
500 13 567 12.0
50 14 568 12.0
75 15 606 13.0
150 16 608 13.0
50 17 613 13.0
75 18 616 13.0
100 19 618 13.0
100 20 621 13.0
500 21 629 13.0
500 22 654 14.0
75 23 661 14.0
100 24 666 14.0
50 25 667 14.0
50 26 671 14.0
50 27 672 14.0
100 28 693 15.0
500 29 753 16.0
100 30 755 16.0
75 31 766 16.0
100 32 778 17.0
75 33 802 17.0
75 34 809 17.0
100 35 814 17.0
75 36 816 17.0
500 37 817 17.0
100 38 840 18.0
100 39 843 18.0
500 40 848 18.0
100 41 914 19.0
150 42 918 20.0
75 43 952 20.0
