#data counter
4396694.915254 1
3240765.027322 2
4751250.000000 3
3818163.407821 4
4830139.664804 5
4408280.386740 6
4817216.850829 7
4714839.385475 8
4596195.054945 9
4726810.109290 10
4020954.861111 11
4009876.994681 12
4249006.320225 13
4514121.621622 14
3785258.152174 15
3970393.145161 16
4822587.837838 17
3912868.679775 18
5066475.409836 19
3894303.977273 20
5028040.081522 21
4150017.556180 22
3823360.252809 23
5278462.357955 24
3146038.011696 25
4943121.488764 26
3882485.875706 27
4195371.428571 28
4617143.342391 29
5360500.000000 30
