#data counter step time
50 1 1713 72.0
500 2 1801 79.0
50 3 1806 79.0
100 4 1839 80.0
75 5 1852 81.0
100 6 1911 84.0
100 7 1939 86.0
75 8 1992 88.0
50 9 1999 89.0
100 10 2031 92.0
100 11 2080 95.0
150 12 2099 96.0
50 13 2100 96.0
50 14 2112 96.0
75 15 2128 97.0
500 16 2171 99.0
500 17 2173 99.0
100 18 2223 102.0
500 19 2234 103.0
75 20 2236 103.0
100 21 2255 104.0
75 22 2272 105.0
500 23 2278 105.0
100 24 2296 106.0
500 25 2355 111.0
100 26 2380 113.0
75 27 2404 115.0
75 28 2407 115.0
150 29 2456 117.0
500 30 2462 117.0
75 31 2486 119.0
100 32 2489 119.0
150 33 2502 120.0
50 34 2540 122.0
75 35 2546 123.0
100 36 2563 124.0
75 37 2566 125.0
100 38 2568 125.0
100 39 2572 125.0
75 40 2588 126.0
150 41 2589 126.0
75 42 2590 126.0
50 43 2601 127.0
75 44 2612 128.0
100 45 2628 129.0
100 46 2629 129.0
100 47 2637 129.0
50 48 2642 129.0
100 49 2647 130.0
75 50 2686 132.0
75 51 2709 133.0
50 52 2777 137.0
50 53 2786 138.0
50 54 2809 140.0
50 55 2820 141.0
500 56 2857 144.0
150 57 2860 144.0
100 58 2891 147.0
150 59 2901 147.0
100 60 2906 148.0
50 61 2913 148.0
150 62 2934 150.0
75 63 2940 150.0
100 64 2941 150.0
75 65 2945 151.0
100 66 2951 152.0
100 67 2962 153.0
100 68 2972 154.0
500 69 2990 156.0
500 70 3003 157.0
75 71 3011 158.0
500 72 3012 158.0
75 73 3016 158.0
100 74 3025 159.0
75 75 3033 160.0
100 76 3036 160.0
100 77 3085 164.0
150 78 3087 164.0
150 79 3097 165.0
100 80 3131 168.0
500 81 3137 170.0
50 82 3142 170.0
75 83 3148 170.0
100 84 3156 171.0
150 85 3165 173.0
50 86 3169 173.0
75 87 3170 173.0
75 88 3178 173.0
500 89 3189 174.0
100 90 3207 176.0
100 91 3224 177.0
100 92 3230 178.0
100 93 3231 178.0
150 94 3232 178.0
100 95 3256 181.0
100 96 3258 181.0
100 97 3286 183.0
75 98 3299 184.0
100 99 3305 184.0
100 100 3324 185.0
100 101 3349 186.0
150 102 3370 187.0
150 103 3382 188.0
100 104 3385 188.0
100 105 3394 188.0
500 106 3419 190.0
75 107 3422 190.0
100 108 3476 192.0
100 109 3505 194.0
100 110 3514 194.0
150 111 3537 195.0
150 112 3542 195.0
100 113 3583 197.0
100 114 3611 200.0
50 115 3620 200.0
100 116 3626 202.0
100 117 3627 202.0
100 118 3650 205.0
500 119 3658 206.0
150 120 3659 206.0
150 121 3664 207.0
75 122 3675 208.0
100 123 3691 211.0
75 124 3697 213.0
75 125 3698 213.0
500 126 3702 214.0
75 127 3710 215.0
500 128 3718 216.0
100 129 3725 217.0
100 130 3726 217.0
75 131 3733 218.0
50 132 3736 219.0
75 133 3757 223.0
50 134 3760 225.0
100 135 3770 228.0
100 136 3771 228.0
100 137 3773 228.0
75 138 3780 230.0
500 139 3786 232.0
50 140 3789 233.0
75 141 3799 234.0
150 142 3800 234.0
500 143 3803 234.0
100 144 3805 234.0
100 145 3810 235.0
100 146 3819 237.0
150 147 3821 237.0
100 148 3835 242.0
50 149 3840 244.0
100 150 3846 246.0
50 151 3849 247.0
500 152 3851 247.0
500 153 3852 247.0
100 154 3858 248.0
100 155 3861 249.0
75 156 3869 250.0
100 157 3882 256.0
500 158 3886 260.0
75 159 3891 262.0
100 160 3892 262.0
50 161 3895 263.0
150 162 3903 266.0
75 163 3908 268.0
50 164 3924 277.0
100 165 3929 280.0
500 166 3958 300.0
100 167 3968 307.0
150 168 3971 311.0
100 169 3973 315.0
75 170 3975 316.0
100 171 3979 323.0
500 172 3988 340.0
75 173 3995 349.0
50 174 4007 381.0
500 175 4028 447.0
100 176 4037 480.0
50 177 4040 482.0
100 178 4041 482.0
