#data counter step time
50 1 443 10.0
100 2 459 10.0
500 3 460 10.0
500 4 463 10.0
50 5 475 10.0
100 6 489 10.0
150 7 491 10.0
100 8 501 11.0
150 9 530 11.0
100 10 532 11.0
100 11 550 12.0
50 12 571 12.0
150 13 573 12.0
100 14 579 12.0
100 15 581 12.0
50 16 585 12.0
100 17 610 13.0
50 18 619 13.0
150 19 621 13.0
150 20 627 13.0
500 21 631 13.0
150 22 635 13.0
75 23 637 13.0
500 24 666 14.0
50 25 674 14.0
75 26 683 14.0
100 27 690 15.0
500 28 716 15.0
75 29 724 15.0
100 30 728 15.0
500 31 730 16.0
75 32 774 17.0
150 33 807 17.0
50 34 821 18.0
75 35 845 18.0
150 36 851 18.0
