#data counter step time
50 1 1508 59.0
150 2 1567 64.0
50 3 1666 69.0
500 4 1667 69.0
100 5 1709 72.0
500 6 1775 75.0
100 7 1904 85.0
100 8 1954 88.0
75 9 2076 97.0
50 10 2103 98.0
100 11 2135 101.0
75 12 2222 105.0
500 13 2238 106.0
75 14 2328 110.0
50 15 2357 112.0
75 16 2360 112.0
100 17 2372 113.0
50 18 2422 116.0
100 19 2437 118.0
500 20 2507 121.0
100 21 2520 122.0
500 22 2555 123.0
150 23 2557 123.0
150 24 2648 127.0
150 25 2652 127.0
75 26 2690 130.0
500 27 2694 131.0
500 28 2705 132.0
100 29 2709 132.0
50 30 2724 133.0
75 31 2731 134.0
100 32 2735 134.0
150 33 2739 134.0
500 34 2763 135.0
50 35 2803 137.0
100 36 2805 137.0
500 37 2813 137.0
500 38 2862 140.0
150 39 2880 141.0
100 40 2884 141.0
50 41 2903 142.0
75 42 2904 142.0
150 43 2908 143.0
100 44 2909 143.0
100 45 2915 143.0
75 46 2918 144.0
50 47 2926 144.0
500 48 2945 146.0
100 49 2952 147.0
500 50 2957 147.0
500 51 2958 147.0
75 52 2965 147.0
150 53 2974 148.0
150 54 2976 148.0
100 55 2986 149.0
100 56 2987 149.0
100 57 3001 151.0
150 58 3008 152.0
100 59 3011 152.0
100 60 3022 153.0
500 61 3026 154.0
50 62 3044 155.0
100 63 3068 157.0
100 64 3085 158.0
100 65 3087 158.0
50 66 3090 158.0
100 67 3108 160.0
500 68 3113 160.0
100 69 3121 160.0
100 70 3123 160.0
75 71 3128 161.0
100 72 3157 163.0
50 73 3167 163.0
150 74 3171 164.0
100 75 3178 165.0
500 76 3189 166.0
500 77 3198 167.0
500 78 3204 168.0
100 79 3207 168.0
150 80 3209 168.0
100 81 3211 168.0
100 82 3216 169.0
50 83 3226 169.0
150 84 3235 170.0
75 85 3248 171.0
100 86 3261 172.0
150 87 3270 173.0
100 88 3274 173.0
75 89 3300 175.0
500 90 3306 176.0
150 91 3307 176.0
50 92 3330 178.0
100 93 3333 178.0
100 94 3344 179.0
75 95 3347 179.0
100 96 3366 181.0
500 97 3388 182.0
150 98 3415 184.0
100 99 3416 184.0
50 100 3443 185.0
500 101 3444 185.0
50 102 3445 185.0
75 103 3485 187.0
150 104 3494 188.0
75 105 3507 188.0
500 106 3522 189.0
500 107 3537 189.0
150 108 3581 191.0
100 109 3595 192.0
100 110 3641 193.0
150 111 3643 193.0
50 112 3647 193.0
100 113 3678 195.0
150 114 3704 197.0
75 115 3723 202.0
100 116 3734 203.0
500 117 3748 204.0
100 118 3759 205.0
150 119 3787 210.0
50 120 3792 211.0
75 121 3800 213.0
100 122 3820 218.0
100 123 3830 221.0
150 124 3837 224.0
100 125 3848 226.0
75 126 3860 229.0
150 127 3863 230.0
50 128 3866 230.0
150 129 3872 231.0
50 130 3881 233.0
150 131 3900 237.0
100 132 3904 238.0
500 133 3913 239.0
100 134 3920 240.0
150 135 3925 241.0
75 136 3929 241.0
50 137 3933 242.0
150 138 3935 242.0
150 139 3937 242.0
150 140 3960 249.0
500 141 3962 250.0
500 142 3975 254.0
100 143 3976 254.0
100 144 3981 255.0
150 145 3982 255.0
75 146 3984 255.0
100 147 4012 265.0
100 148 4016 267.0
50 149 4025 270.0
150 150 4032 273.0
150 151 4034 274.0
75 152 4049 277.0
150 153 4052 279.0
50 154 4057 280.0
75 155 4058 280.0
75 156 4069 287.0
500 157 4070 287.0
50 158 4071 287.0
100 159 4074 288.0
150 160 4081 291.0
50 161 4083 292.0
50 162 4089 295.0
100 163 4111 305.0
50 164 4118 307.0
500 165 4130 317.0
500 166 4142 330.0
100 167 4154 346.0
100 168 4161 351.0
100 169 4175 366.0
500 170 4187 373.0
50 171 4193 389.0
150 172 4204 415.0
100 173 4218 469.0
100 174 4221 480.0
500 175 4224 516.0
