#data counter step time
500 1 1484 63.0
100 2 1572 69.0
100 3 1627 74.0
500 4 1731 80.0
100 5 1759 82.0
100 6 1807 85.0
500 7 1835 86.0
100 8 1866 88.0
75 9 1885 89.0
75 10 1919 93.0
100 11 1946 95.0
500 12 1953 96.0
100 13 1958 97.0
50 14 1975 99.0
150 15 2071 105.0
100 16 2141 110.0
100 17 2207 114.0
75 18 2373 125.0
100 19 2417 128.0
100 20 2418 128.0
150 21 2438 129.0
50 22 2445 130.0
75 23 2446 130.0
150 24 2451 131.0
100 25 2456 131.0
50 26 2485 132.0
100 27 2501 133.0
100 28 2535 135.0
100 29 2549 136.0
100 30 2553 136.0
150 31 2580 138.0
150 32 2599 140.0
100 33 2600 140.0
100 34 2613 141.0
50 35 2633 142.0
75 36 2649 143.0
50 37 2670 144.0
50 38 2684 145.0
100 39 2685 145.0
100 40 2690 145.0
500 41 2712 147.0
75 42 2717 148.0
150 43 2725 148.0
150 44 2760 151.0
100 45 2791 153.0
50 46 2798 154.0
50 47 2804 155.0
50 48 2806 155.0
75 49 2825 157.0
75 50 2846 160.0
100 51 2848 160.0
100 52 2867 161.0
75 53 2889 163.0
150 54 2895 163.0
500 55 2907 164.0
500 56 2911 164.0
100 57 2943 166.0
75 58 2955 167.0
150 59 2957 167.0
500 60 2988 169.0
50 61 2994 170.0
50 62 2995 170.0
50 63 3012 171.0
100 64 3045 173.0
50 65 3056 174.0
50 66 3079 176.0
500 67 3089 178.0
100 68 3094 178.0
75 69 3105 179.0
75 70 3106 179.0
75 71 3113 179.0
100 72 3120 180.0
50 73 3121 180.0
150 74 3124 180.0
100 75 3136 181.0
50 76 3153 182.0
50 77 3154 182.0
100 78 3156 182.0
100 79 3157 182.0
500 80 3228 187.0
150 81 3233 187.0
500 82 3246 188.0
500 83 3329 193.0
100 84 3350 194.0
75 85 3386 196.0
75 86 3388 196.0
500 87 3405 197.0
150 88 3414 197.0
50 89 3459 199.0
100 90 3470 200.0
100 91 3479 201.0
50 92 3481 202.0
500 93 3485 203.0
50 94 3507 205.0
100 95 3508 205.0
75 96 3514 206.0
150 97 3519 206.0
75 98 3523 207.0
150 99 3530 208.0
500 100 3533 209.0
100 101 3539 210.0
150 102 3544 211.0
75 103 3551 213.0
150 104 3556 214.0
500 105 3564 216.0
50 106 3565 216.0
100 107 3582 219.0
500 108 3584 219.0
150 109 3588 220.0
500 110 3589 220.0
500 111 3599 221.0
150 112 3608 223.0
50 113 3619 224.0
50 114 3624 225.0
100 115 3632 226.0
100 116 3637 227.0
500 117 3639 228.0
500 118 3642 228.0
75 119 3646 230.0
150 120 3648 230.0
50 121 3658 232.0
75 122 3673 237.0
100 123 3682 238.0
50 124 3699 240.0
500 125 3705 241.0
75 126 3713 243.0
100 127 3717 245.0
100 128 3725 248.0
50 129 3726 248.0
50 130 3733 249.0
500 131 3737 250.0
500 132 3746 251.0
100 133 3752 252.0
50 134 3757 252.0
500 135 3771 257.0
500 136 3776 258.0
75 137 3777 258.0
50 138 3783 259.0
150 139 3791 261.0
75 140 3799 263.0
150 141 3806 264.0
100 142 3810 266.0
100 143 3813 269.0
150 144 3816 270.0
50 145 3824 279.0
150 146 3852 294.0
100 147 3854 295.0
100 148 3857 296.0
75 149 3860 298.0
150 150 3870 305.0
500 151 3873 308.0
75 152 3875 310.0
100 153 3886 317.0
150 154 3895 326.0
100 155 3897 337.0
50 156 3902 347.0
75 157 3910 361.0
50 158 3912 371.0
75 159 3919 386.0
100 160 3930 546.0
